Date : 2023-12-13 02:08:00
Directory : /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin
Total : 115 files,  8437 codes, 78 comments, 400 blanks, all 8915 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |      6,443 |          0 |          3 |      6,446 |
| TypeScript JSX     |         36 |      1,005 |         42 |        167 |      1,214 |
| TypeScript         |         65 |        854 |         18 |        201 |      1,073 |
| JavaScript         |          2 |         72 |          7 |         12 |         91 |
| JSON with Comments |          1 |         19 |          8 |          2 |         29 |
| Markdown           |          1 |         19 |          0 |          9 |         28 |
| HTML               |          1 |         12 |          1 |          1 |         14 |
| CSS                |          1 |          9 |          1 |          3 |         13 |
| XML                |          2 |          2 |          0 |          0 |          2 |
| Properties         |          1 |          2 |          1 |          0 |          3 |
| SCSS               |          2 |          0 |          0 |          2 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                |        115 |      8,437 |         78 |        400 |      8,915 |
| . (Files)                                                                                                        |          9 |      6,575 |         17 |         30 |      6,622 |
| public                                                                                                           |          1 |          1 |          0 |          0 |          1 |
| src                                                                                                              |        105 |      1,861 |         61 |        370 |      2,292 |
| src (Files)                                                                                                      |          3 |         32 |          1 |          5 |         38 |
| src/app                                                                                                          |          4 |         30 |          7 |         13 |         50 |
| src/app/config                                                                                                   |          1 |          2 |          1 |          0 |          3 |
| src/app/config/environment                                                                                       |          1 |          2 |          1 |          0 |          3 |
| src/app/i18n                                                                                                     |          1 |          0 |          0 |          1 |          1 |
| src/app/router                                                                                                   |          1 |         19 |          5 |          9 |         33 |
| src/app/styles                                                                                                   |          1 |          9 |          1 |          3 |         13 |
| src/assets                                                                                                       |          1 |          1 |          0 |          0 |          1 |
| src/entities                                                                                                     |         26 |        444 |         14 |        104 |        562 |
| src/entities (Files)                                                                                             |          1 |         57 |          0 |          6 |         63 |
| src/entities/booking                                                                                             |          9 |        182 |          0 |         53 |        235 |
| src/entities/booking/api                                                                                         |          2 |         91 |          0 |         20 |        111 |
| src/entities/booking/model                                                                                       |          2 |         70 |          0 |         23 |         93 |
| src/entities/booking/ui                                                                                          |          5 |         21 |          0 |         10 |         31 |
| src/entities/booking/ui (Files)                                                                                  |          1 |          2 |          0 |          1 |          3 |
| src/entities/booking/ui/card                                                                                     |          2 |          8 |          0 |          4 |         12 |
| src/entities/booking/ui/details                                                                                  |          2 |         11 |          0 |          5 |         16 |
| src/entities/hotel                                                                                               |          1 |          8 |          0 |          2 |         10 |
| src/entities/hotel/model                                                                                         |          1 |          8 |          0 |          2 |         10 |
| src/entities/room                                                                                                |          9 |        154 |          1 |         32 |        187 |
| src/entities/room (Files)                                                                                        |          2 |         10 |          0 |          5 |         15 |
| src/entities/room/model                                                                                          |          5 |        111 |          1 |         20 |        132 |
| src/entities/room/model (Files)                                                                                  |          3 |         58 |          0 |         12 |         70 |
| src/entities/room/model/dto                                                                                      |          2 |         53 |          1 |          8 |         62 |
| src/entities/room/ui                                                                                             |          2 |         33 |          0 |          7 |         40 |
| src/entities/room/ui/card                                                                                        |          1 |          7 |          0 |          2 |          9 |
| src/entities/room/ui/details                                                                                     |          1 |         26 |          0 |          5 |         31 |
| src/entities/user                                                                                                |          6 |         43 |         13 |         11 |         67 |
| src/entities/user (Files)                                                                                        |          1 |          0 |          0 |          1 |          1 |
| src/entities/user/api                                                                                            |          2 |          9 |          0 |          4 |         13 |
| src/entities/user/model                                                                                          |          3 |         34 |         13 |          6 |         53 |
| src/features                                                                                                     |         12 |        157 |          1 |         34 |        192 |
| src/features/auth                                                                                                |          9 |        131 |          1 |         28 |        160 |
| src/features/auth (Files)                                                                                        |          1 |          1 |          0 |          1 |          2 |
| src/features/auth/api                                                                                            |          4 |         98 |          1 |         18 |        117 |
| src/features/auth/model                                                                                          |          1 |         20 |          0 |          5 |         25 |
| src/features/auth/ui                                                                                             |          3 |         12 |          0 |          4 |         16 |
| src/features/auth/ui (Files)                                                                                     |          1 |          2 |          0 |          1 |          3 |
| src/features/auth/ui/authProvider                                                                                |          1 |          5 |          0 |          2 |          7 |
| src/features/auth/ui/form                                                                                        |          1 |          5 |          0 |          1 |          6 |
| src/features/cookie                                                                                              |          3 |         26 |          0 |          6 |         32 |
| src/features/cookie (Files)                                                                                      |          1 |          1 |          0 |          0 |          1 |
| src/features/cookie/api                                                                                          |          2 |         25 |          0 |          6 |         31 |
| src/pages                                                                                                        |         11 |        374 |          1 |         57 |        432 |
| src/pages (Files)                                                                                                |          1 |         11 |          0 |          4 |         15 |
| src/pages/auth                                                                                                   |          3 |         72 |          0 |         11 |         83 |
| src/pages/booking                                                                                                |          3 |        284 |          1 |         37 |        322 |
| src/pages/hotel                                                                                                  |          2 |          7 |          0 |          3 |         10 |
| src/pages/room                                                                                                   |          1 |          0 |          0 |          1 |          1 |
| src/pages/user                                                                                                   |          1 |          0 |          0 |          1 |          1 |
| src/shared                                                                                                       |         35 |        576 |         36 |        103 |        715 |
| src/shared/components                                                                                            |         24 |        369 |         35 |         64 |        468 |
| src/shared/components/button                                                                                     |          1 |         13 |          0 |          3 |         16 |
| src/shared/components/button/add-button                                                                          |          1 |         13 |          0 |          3 |         16 |
| src/shared/components/card                                                                                       |          6 |         29 |          0 |          6 |         35 |
| src/shared/components/card (Files)                                                                               |          1 |          3 |          0 |          0 |          3 |
| src/shared/components/card/api                                                                                   |          2 |          5 |          0 |          1 |          6 |
| src/shared/components/card/model                                                                                 |          2 |          5 |          0 |          1 |          6 |
| src/shared/components/card/ui                                                                                    |          1 |         16 |          0 |          4 |         20 |
| src/shared/components/details                                                                                    |          3 |         15 |          0 |          5 |         20 |
| src/shared/components/details/model                                                                              |          1 |          4 |          0 |          1 |          5 |
| src/shared/components/details/ui                                                                                 |          2 |         11 |          0 |          4 |         15 |
| src/shared/components/form                                                                                       |          2 |         38 |          2 |          7 |         47 |
| src/shared/components/form/model                                                                                 |          1 |          4 |          0 |          2 |          6 |
| src/shared/components/form/ui                                                                                    |          1 |         34 |          2 |          5 |         41 |
| src/shared/components/pagination                                                                                 |          1 |         31 |          0 |          7 |         38 |
| src/shared/components/table                                                                                      |         11 |        243 |         33 |         36 |        312 |
| src/shared/components/table/model                                                                                |          1 |         17 |          0 |          3 |         20 |
| src/shared/components/table/ui                                                                                   |         10 |        226 |         33 |         33 |        292 |
| src/shared/components/table/ui (Files)                                                                           |          1 |         62 |         11 |          5 |         78 |
| src/shared/components/table/ui/header                                                                            |          1 |         46 |          0 |          3 |         49 |
| src/shared/components/table/ui/t-keys                                                                            |          2 |         52 |         21 |         10 |         83 |
| src/shared/components/table/ui/t-row                                                                             |          6 |         66 |          1 |         15 |         82 |
| src/shared/components/table/ui/t-row (Files)                                                                     |          1 |         66 |          1 |         10 |         77 |
| src/shared/components/table/ui/t-row/typed-rows                                                                  |          5 |          0 |          0 |          5 |          5 |
| src/shared/directus                                                                                              |          1 |          5 |          0 |          2 |          7 |
| src/shared/directus/model                                                                                        |          1 |          5 |          0 |          2 |          7 |
| src/shared/layouts                                                                                               |          6 |         69 |          1 |         13 |         83 |
| src/shared/layouts/layout                                                                                        |          5 |         46 |          0 |          8 |         54 |
| src/shared/layouts/layout (Files)                                                                                |          1 |          1 |          0 |          1 |          2 |
| src/shared/layouts/layout/details-layout                                                                         |          1 |         37 |          0 |          2 |         39 |
| src/shared/layouts/layout/main-layout                                                                            |          1 |          2 |          0 |          1 |          3 |
| src/shared/layouts/layout/model                                                                                  |          2 |          6 |          0 |          4 |         10 |
| src/shared/layouts/sidebar                                                                                       |          1 |         23 |          1 |          5 |         29 |
| src/shared/layouts/sidebar/ui                                                                                    |          1 |         23 |          1 |          5 |         29 |
| src/shared/types                                                                                                 |          1 |          8 |          0 |          2 |         10 |
| src/shared/universal                                                                                             |          3 |        125 |          0 |         22 |        147 |
| src/shared/universal/ui                                                                                          |          3 |        125 |          0 |         22 |        147 |
| src/shared/universal/ui (Files)                                                                                  |          1 |          0 |          0 |          1 |          1 |
| src/shared/universal/ui/pages                                                                                    |          2 |        125 |          0 |         21 |        146 |
| src/utils                                                                                                        |          9 |        219 |          1 |         47 |        267 |
| src/utils/capitalize                                                                                             |          1 |          6 |          0 |          2 |          8 |
| src/utils/class-factory                                                                                          |          1 |         36 |          1 |          5 |         42 |
| src/utils/date-formatter                                                                                         |          1 |         11 |          0 |          2 |         13 |
| src/utils/hooks                                                                                                  |          2 |         33 |          0 |         14 |         47 |
| src/utils/hooks/useClass                                                                                         |          1 |         24 |          0 |          9 |         33 |
| src/utils/hooks/useIsSsr                                                                                         |          1 |          9 |          0 |          5 |         14 |
| src/utils/object-parser                                                                                          |          4 |        133 |          0 |         24 |        157 |
| src/widget                                                                                                       |          4 |         28 |          0 |          7 |         35 |
| src/widget/calendar                                                                                              |          2 |         14 |          0 |          2 |         16 |
| src/widget/calendar/model                                                                                        |          2 |         14 |          0 |          2 |         16 |
| src/widget/chat                                                                                                  |          2 |         14 |          0 |          5 |         19 |
| src/widget/chat/model                                                                                            |          2 |         14 |          0 |          5 |         19 |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                         | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/.eslintrc.cjs                                             | JavaScript         |         18 |          0 |          1 |         19 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/README.md                                                 | Markdown           |         19 |          0 |          9 |         28 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/index.html                                                | HTML               |         12 |          1 |          1 |         14 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/package-lock.json                                         | JSON               |      6,385 |          0 |          1 |      6,386 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/package.json                                              | JSON               |         48 |          0 |          1 |         49 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/public/vite.svg                                           | XML                |          1 |          0 |          0 |          1 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/server.js                                                 | JavaScript         |         54 |          7 |         11 |         72 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/app/config/environment/.env                           | Properties         |          2 |          1 |          0 |          3 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/app/i18n/index.ts                                     | TypeScript         |          0 |          0 |          1 |          1 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/app/router/index.tsx                                  | TypeScript JSX     |         19 |          5 |          9 |         33 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/app/styles/index.css                                  | CSS                |          9 |          1 |          3 |         13 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/assets/react.svg                                      | XML                |          1 |          0 |          0 |          1 |
| /Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/booking/api/service.ts                       | TypeScript         |         41 |          0 |         14 |         55 |
